 "area" , "numM" , "numF" , "diff" ,
 "http://www.wikidata.org/entity/Q796" , "10.1" , "30.9" , "20.8" ,
 "http://www.wikidata.org/entity/Q851" , "2.9" , "22.5" , "19.6" ,
 "http://www.wikidata.org/entity/Q407199" , "22.4" , "41.8" , "19.4" ,
 "http://www.wikidata.org/entity/Q1049" , "11.6" , "29.1" , "17.5" ,
 "http://www.wikidata.org/entity/Q858" , "5.8" , "20.9" , "15.1" ,
 "http://www.wikidata.org/entity/Q79" , "8.1" , "23.0" , "14.9" ,
 "http://www.wikidata.org/entity/Q1000" , "14.3" , "28.1" , "13.8" ,
 "http://www.wikidata.org/entity/Q805" , "12.0" , "25.3" , "13.3" ,
 "http://www.wikidata.org/entity/Q1039" , "8.8" , "20.8" , "12.0" ,
 "http://www.wikidata.org/entity/Q262" , "9.9" , "21.1" , "11.2" ,
