 "area" , "num18" , "num00" , "diff" ,
 "http://www.wikidata.org/entity/Q407199" , "64.2" , "19.1" , "45.1" ,
 "http://www.wikidata.org/entity/Q796" , "41.0" , "16.7" , "24.3" ,
 "http://www.wikidata.org/entity/Q805" , "37.3" , "21.2" , "16.1" ,
 "http://www.wikidata.org/entity/Q41" , "39.7" , "24.7" , "15.0" ,
 "http://www.wikidata.org/entity/Q399" , "35.0" , "22.5" , "12.5" ,
 "http://www.wikidata.org/entity/Q851" , "25.4" , "13.2" , "12.2" ,
 "http://www.wikidata.org/entity/Q790" , "27.5" , "16.6" , "10.9" ,
 "http://www.wikidata.org/entity/Q43" , "23.2" , "12.9" , "10.3" ,
 "http://www.wikidata.org/entity/Q800" , "20.2" , "10.9" , "9.3" ,
 "http://www.wikidata.org/entity/Q1033" , "16.6" , "7.6" , "9.0" ,
